SampleName	cluster	silhouetteValue	unmapped_cluster
DFCIDL001_DT	1	-0.0004808473450722	1
DLBCL_C_D_1114_NULLPAIR	1	0.150934829145192	1
DLBCL_C_D_1123_NULLPAIR	1	0.190207425513501	1
DLBCL_C_D_1128_NULLPAIR	1	0.162804255723935	1
DLBCL_C_D_1129_NULLPAIR	1	0.177069607389452	1
DLBCL_C_D_1132_NULLPAIR	1	0.113888133938339	1
DLBCL_C_D_1155_NULLPAIR	1	-0.0003840318298922	1
DLBCL_C_D_1156_NULLPAIR	1	0.174844395565881	1
DLBCL_C_D_1158_NULLPAIR	1	0.189711739964693	1
DLBCL_C_D_1130_NULLPAIR	1	0.109355046633548	1
DLBCL_LS2367	1	0.14782111632166	1
DLBCL_LS2978	1	0.0774479406396321	1
DLBCL_LS4394	1	0.183940533967139	1
DLBCL_MAYO_DLBCL_5613	1	0.085939145776737	1
DLBCL_MC_F132_MLM	1	0.20651410948983	1
DLBCL_MC_F262_WLC	1	0.135793006172687	1
DLBCL_MC_F300_TBF	1	0.151375193535381	1
DLBCL_LS1757	1	-0.0113476758646361	1
DLBCL_MC_F307_JPS	1	0.160985839255272	1
DLBCL_RICOVER_1081	1	0.257640454326366	1
DLBCL_RICOVER_1144	1	0.104410489187456	1
DLBCL_MC_F648_JKW	1	-0.0322795331479449	1
DLBCL_LS378	1	0.115649049497797	1
DLBCL_RICOVER_1150	1	0.0113118079681188	1
DLBCL_LS4323	1	0.118219849000186	1
DFCIDL010_DT	1	0.174523930729018	1
DLBCL_RICOVER_290	1	0.164671869140892	1
DLBCL_RICOVER_451	1	0.0796296484769952	1
DLBCL_RICOVER_473	1	0.0830432715119907	1
DLBCL_RICOVER_826	1	0.070066730082568	1
DLBCL_RICOVER_829	1	0.109538429717584	1
DLBCL_RICOVER_865	1	0.133018916564738	1
DLBCL_RICOVER_945	1	0.0197743444129926	1
DLBCL_RICOVER_694	1	0.185565859204018	1
DLBCL_RICOVER_977	1	0.14565497897886	1
DLBCL_LS3866	1	0.0371900956432805	1
DLBCL_MAYO_DLBCL_3653	1	-0.0271782425356476	1
DLBCL_RICOVER_910	1	-0.0054327230811956	1
DLBCL_RICOVER_978	1	-0.0136384127490488	1
DLBCL_LS3808	1	0.0016987661574392	1
DLBCL_LS3809	1	0.002521715080885	1
DLBCL_RICOVER_120	1	0.048980441322399	1
DLBCL_RICOVER_181	1	0.0934109323900585	1
DLBCL_LS2154	1	0.0665167247543089	1
DLBCL_MC_F210_GWC	2	0.152052671600198	3
DLBCL_RICOVER_174	2	0.297883683775734	3
DLBCL_RICOVER_787	2	-0.0203884130545243	3
DLBCL_RICOVER_288	2	0.120947334266266	3
DLBCL_RICOVER_478	2	0.213721211389094	3
DLBCL_C_D_1131_NULLPAIR	2	0.0234463428649682	3
DLBCL_LS2089	2	0.238072618549413	3
DLBCL_C_D_1149_NULLPAIR	2	0.0584945189642392	3
DLBCL_C_D_1136_NULLPAIR	2	0.079488305525441	3
DLBCL_RICOVER_126	2	0.172671281010483	3
DLBCL_RICOVER_335	2	0.153924888196964	3
DLBCL_LS4054	2	0.186766807939654	3
DLBCL_C_D_PAIR13	2	0.136276172523824	3
DLBCL_MC_F496DMP	2	0.140159707901922	3
DLBCL_LS146	2	0.0900618893511021	3
DLBCL_LS2258	2	0.140650144765635	3
DLBCL_LS3204	2	0.134381182389731	3
DLBCL_LS3749	2	0.107962112271817	3
DLBCL_LS88	2	0.207991526664704	3
DLBCL_MAYO_DLBCL_7359	2	0.0245652332645178	3
DLBCL_MC_F089_HCZ	2	0.167951844236068	3
DLBCL_DFCI_DLBCL_GOE07	2	0.150558121225882	3
DLBCL_RICOVER_107	2	0.151363331367566	3
DLBCL_RICOVER_1235	2	-0.0469926289979091	3
DLBCL_MC_F500_ECU	2	0.0386027515576141	3
DLBCL_LS1921	2	0.209211722672816	3
DLBCL_LS1065	2	0.259289872949248	3
DLBCL_C_D_1117_NULLPAIR	2	-0.0041766559930283	3
DLBCL_C_D_1126_NULLPAIR	2	0.231404292255859	3
DLBCL_RICOVER_401	2	0.0616348476833721	3
DLBCL_C_D_PAIR9	2	0.0919364250165638	3
DLBCL_C_D_PAIR5	2	-0.0365118966584827	3
DLBCL_C_D_PAIR22	2	-0.140333600285692	3
DLBCL_C_D_PAIR2	2	-0.0243790717490706	3
DLBCL_C_D_1106_NULLPAIR	2	-0.0084086079846107	3
DLBCL_C_D_1108_NULLPAIR	2	0.228268910705387	3
DLBCL_RICOVER_1169	2	0.0404147321465769	3
DLBCL_RICOVER_266	2	0.164363350354206	3
DLBCL_C_D_1118_NULLPAIR	2	0.167391840914809	3
DLBCL_C_D_1119_NULLPAIR	2	0.264447733355769	3
DLBCL_RICOVER_822	2	0.19671108169544	3
DLBCL_C_D_1135_NULLPAIR	2	0.132890069388466	3
DLBCL_RICOVER_496	2	0.240778087191627	3
DLBCL_RICOVER_253	2	0.201322353183111	3
DLBCL_RICOVER_583	2	0.105253834340615	3
DLBCL_RICOVER_623	2	0.15609141735728	3
DLBCL_RICOVER_678	2	0.068526964025254	3
DLBCL_RICOVER_773	2	0.0472447973282844	3
DLBCL_RICOVER_780	2	0.0106369028644644	3
DLBCL_RICOVER_839	2	-0.0482108147534027	3
DLBCL_RICOVER_948	2	-0.0195377246906186	3
DFCIDL003_DT	2	0.181692812727649	3
DLBCL_LS3245	2	0.105327323035838	3
DLBCL_LS3309	2	0.101388085353621	3
DLBCL_MC_F739_AMA3	2	0.082600478352168	3
DLBCL_RICOVER_299	2	0.240510905733517	3
DLBCL_RICOVER_533	2	0.218346564176575	3
DLBCL_RICOVER_1165	2	-0.0885829087121209	3
DLBCL_C_D_1152_NULLPAIR	2	0.168488998004749	3
DLBCL_RICOVER_1060	2	-0.102584664932321	3
DLBCL_RICOVER_105	2	0.0136505231979215	3
DLBCL_MC_F959_ERM	2	0.0055754177143772	3
DLBCL_MC_F729_MAN	2	0.0998415059471766	3
DLBCL_MC_F502_RFK	2	0.0567165142138258	3
DLBCL_RICOVER_1210	2	-0.0834128394464343	3
DLBCL_DFCI_DLBCL_GOE16	3	-0.0125309436934099	2
DLBCL_C_D_1162_NULLPAIR	3	0.0498438248954612	2
DLBCL_C_D_1157_NULLPAIR	3	-0.0130793001891856	2
DLBCL_C_D_1141_NULLPAIR	3	0.145141123453284	2
DLBCL_C_D_1113_NULLPAIR	3	0.0425777284751138	2
DLBCL_C_D_1127_NULLPAIR	3	0.0443905138580047	2
DLBCL_LS1098	3	0.102791469728434	2
DLBCL_C_D_1112_NULLPAIR	3	-0.0125769712955475	2
DFCIDL009_DT	3	-0.0725066918593277	2
DLBCL_C_D_1133_NULLPAIR	3	0.0945367901812822	2
DLBCL_LS4616	3	0.0265120635793339	2
DLBCL_LS2245	3	0.0523496440780211	2
DLBCL_LS1620	3	-0.105443758241892	2
