	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
IPI_High_45	0.26666019969433985	0.007017373676166837	34	7	96	3	0.03782269193228096	0.00099533399821792	24	7	47	0	0.8184615384615389	0.021538461538461548	5	3	18	0	1.0	0.031620553359683806	5	3	15	0	1.0	1.0	106	8	24	2
COO_UNC	0.42311464172433133	0.02226919166970165	31	6	62	37	1.0	0.20173061311822924	23	6	30	17	1.0	0.36016386359635805	7	1	11	7	1.0	0.34521959397447355	7	1	9	6	1.0	0.9999999999999999	76	36	17	7
COO_ABC	0.5258733511814423	0.053563567632842854	14	23	57	42	1.0	0.15602093964306804	11	18	27	20	1.0	0.41984605783232787	2	6	8	10	1.0	0.6570197873199625	2	6	6	9	1.0	0.17597711530005927	55	57	16	8
TNIP1	0.5258733511814423	0.05535508959804656	34	7	93	6	1.0	0.47067158816298227	26	5	43	4	1.0	0.5292307692307692	8	0	15	3	1.0	0.5256916996047432	8	0	13	2	1.0	1.0	105	0	22	0
X5Q.AMP	0.5667655557387523	0.07925706819384912	27	14	80	19	0.9515472144268762	0.07512214850738495	18	13	37	10	1.0	1.0	5	3	12	6	1.0	1.0	5	3	9	6	1.0	0.1984274219312832	90	24	17	9
IPI_IntermediateHigh_3	0.5667655557387523	0.10052558110682672	32	9	89	10	0.5319985538871408	0.027999923888796883	22	9	43	4	1.0	0.2805107935542717	5	3	16	2	1.0	0.29685874765966297	5	3	13	2	1.0	0.35014347565889864	100	14	21	5
SV.BCL6	0.5667655557387523	0.11931906436605311	10	31	39	60	1.0	0.804804269915215	9	22	16	31	1.0	1.0	2	6	5	13	1.0	1.0	2	6	5	10	1.0	1.0	41	0	8	0
TNFAIP3	0.5667655557387523	0.11931906436605311	31	10	60	39	1.0	0.6195249004497104	23	8	32	15	1.0	0.6278504104591062	7	1	13	5	1.0	0.6213854795090493	7	1	11	4	1.0	1.0	78	0	13	0
GNAI2	0.6346120761760088	0.15030286014694944	39	2	85	14	1.0	0.23341698783299367	30	1	41	6	1.0	1.0	8	0	16	2	1.0	1.0	8	0	14	1	1.0	1.0	99	0	25	0
CCDC27	0.6847154787977264	0.18018828389413852	41	0	93	6	1.0	0.2722277722277723	31	0	44	3	1.0	1.0	8	0	17	1	1.0	1.0	8	0	14	1	1.0	1.0	108	1	26	0
