	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
OSBPL10	0.0030744466266427236	6.541375801367497e-05	60	4	79	37	0.056782116589641426	0.0017598509816895932	55	4	32	14	0.7688128966491359	0.16357721205300763	28	3	20	7	0.5622557905322387	0.1396355307199564	28	3	16	6	1.0	0.9999999999999999	108	3	31	1
BTG2	0.011167608624005558	0.00047521738825555564	58	6	78	38	0.056782116589641426	0.0024162602804102735	54	5	31	15	0.2307199227388734	0.016408624025578453	29	2	18	9	0.25094770601892935	0.024793074522484033	29	2	15	7	1.0	1.0	107	6	29	1
IPI_IntermediateHigh_3	0.014210542658995923	0.0010993482197036223	41	23	100	16	0.0626263900998544	0.0039974291553098555	36	23	40	6	0.2307199227388734	0.005159305744694898	15	16	23	4	0.25094770601892935	0.020916492376950122	15	16	18	4	1.0	0.06521393040141099	118	27	23	12
IRF2BP2	0.014210542658995923	0.0012094078858719934	60	4	86	30	0.11159003063133868	0.011871279854397732	55	4	34	12	0.2307199227388734	0.019635738105436035	30	1	20	7	0.25094770601892935	0.01611195909670418	30	1	16	6	1.0	0.5784207272606122	114	4	32	0
PLOIDY	0.043271481391473396	0.004603349084199297	64	0	103	13	0.06838818575219552	0.005820271127846427	59	0	40	6	0.3888325830249604	0.04136516840691068	31	0	23	4	0.4017651327584733	0.06573892256467172	31	0	19	3	1.0	0.719458973598225	135	10	32	3
TOX	0.09118167916487074	0.01164021436147286	63	1	101	15	0.27945303369242164	0.041620664592488324	58	1	40	6	0.2307199227388734	0.017618497654795277	31	0	22	5	0.25094770601892935	0.02498079057457527	31	0	18	4	1.0	1.0	131	1	33	0
IRF4	0.10741450129698031	0.01599790444848643	60	4	93	23	0.27945303369242164	0.04054465117344762	55	4	36	10	0.4537185461889007	0.06757510262387882	29	2	20	7	0.4017651327584733	0.054371171421298686	29	2	16	6	1.0	1.0	120	7	33	1
X6Q14.1.DEL	0.29049814810714075	0.049754005274958095	55	9	110	6	0.9055644423229656	0.34043796626839723	51	8	43	3	1.0	1.0	28	3	25	2	1.0	1.0	28	3	20	2	1.0	1.0	132	12	33	2
IPI_High_45	0.29049814810714075	0.05562730495668653	57	7	112	4	0.9055644423229656	0.4610598690485148	53	6	44	2	0.9276940453517835	0.4315360657217659	26	5	25	2	0.9646685120271604	0.6856420670976603	26	5	20	2	1.0	0.4493694756310259	137	8	32	3
HLA.A	0.3543021739399816	0.08998476676382293	50	14	102	14	0.9444650924179699	0.6123379626800477	47	12	39	7	1.0	0.7533321575159676	25	6	20	7	0.9267718982509862	0.5241331462457904	25	6	16	6	1.0	1.0	121	0	31	0
ATP2A2	0.3543021739399816	0.09042368738554309	64	0	110	6	0.8453238058742422	0.1895604395604395	59	0	44	2	0.9512743628185907	0.46551724137931033	31	0	26	1	0.9267718982509862	0.4150943396226417	31	0	21	1	1.0	0.9999999999999999	140	1	34	0
CARD11	0.3543021739399816	0.09046012951659103	55	9	87	29	0.3940640764559974	0.06707473641804211	53	6	35	11	0.5130939391567576	0.08733513857987363	30	1	22	5	0.5622557905322387	0.14740642265614518	30	1	18	4	1.0	1.0	114	1	28	0
