	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt
X12P13.2.DEL	0.5032890120880126	0.003464099595955954	45	7	61	0	0.7681836507449606	0.0130779978125968	41	7	43	0
BCL2	0.5032890120880126	0.006027413318419313	12	40	30	31	0.7913188778667629	0.02630055083618773	11	37	20	23
SV.BCL2	0.5261712376824673	0.017041804710352666	11	41	26	35	0.7913188778667629	0.024031054994137387	10	38	19	24
X6P21.1.AMP	0.5261712376824673	0.018515788589670207	47	5	61	0	0.7913188778667629	0.05751925976645071	43	5	43	0
FAS	0.5261712376824673	0.019202542110478407	50	2	49	12	0.7681836507449606	0.0054503010442393815	46	2	32	11
X9P21.3.DEL	0.5261712376824673	0.022129340881392897	43	9	59	2	0.9690958164642373	0.16364956009416656	41	7	41	2
SOCS1	0.5261712376824673	0.022444841631739956	46	6	43	18	0.7913188778667629	0.03303574789280947	43	5	30	13
BTG1	0.5261712376824673	0.025205807793172087	38	14	55	6	0.7681836507449606	0.013799706300807676	35	13	40	3
DTX1	0.8071144595836922	0.04691639205786132	46	6	60	1	0.9690958164642373	0.20733457424662394	43	5	42	1
EP300	0.8071144595836922	0.048330207160700134	47	5	46	15	0.9405208872534294	0.07884606240447911	44	4	33	10
MEF2B	0.8475157794848058	0.058847209495358016	46	6	45	16	0.7913188778667629	0.04322454404392742	42	6	30	13
X19P13.2.DEL	0.8475157794848058	0.060899337448009995	52	0	56	5	0.7913188778667629	0.04617479898378774	48	0	39	4
X1P36.32.DEL	0.9344068447045114	0.0890683007022104	34	18	49	12	0.9690958164642373	0.15331784652215394	32	16	35	8
X6Q.DEL	0.9344068447045114	0.09432741727181791	38	14	53	8	0.9690958164642373	0.19582882002127833	35	13	37	6
CD79B	0.9344068447045114	0.09438958554002809	49	3	61	0	1.0	0.49597069597069593	46	2	43	0
SF3B1	0.9344068447045114	0.09438958554002809	49	3	61	0	0.9971407160865077	0.24395604395604392	45	3	43	0
X1Q23.3.AMP	0.9344068447045114	0.10826831709812555	44	8	58	3	0.7913188778667629	0.0615996731273528	41	7	42	1
SGK1	0.9344068447045114	0.11643925775767795	41	11	55	6	0.9690958164642373	0.17958788308659177	37	11	38	5
RAC2	0.9344068447045114	0.12167809679379053	51	1	55	6	1.0	0.3406174349994574	47	1	40	3
DUSP2	0.9344068447045114	0.12167809679379053	51	1	55	6	0.9424789525913112	0.09687393840822747	47	1	38	5
IRF2BP2	0.9344068447045114	0.12309551247604343	52	0	57	4	0.9424789525913112	0.10158455776433295	48	0	40	3
X11Q23.3.AMP	0.9344068447045114	0.12309551247604343	52	0	57	4	0.9424789525913112	0.10158455776433295	48	0	40	3
POU2F2	1.0	0.14031216890918943	46	6	59	2	1.0	0.4396075318198526	43	5	41	2
COO_GCB	1.0	0.1481495428022788	3	39	11	50	1.0	1.0	3	36	4	39
X19P13.3.DEL	1.0	0.16352611350541263	48	4	50	11	0.9690958164642373	0.21574565002345455	44	4	35	8
EZH2	1.0	0.17483486224776276	36	16	34	27	0.7913188778667629	0.059693755799894235	32	16	20	23
TNFRSF14	1.0	0.18879348496710843	33	19	31	30	0.7913188778667629	0.059693755799894235	32	16	20	23
X10Q23.31.DEL	1.0	0.21774411796749132	40	12	53	8	1.0	0.43910252051183085	36	12	36	7
X3P21.31.DEL	1.0	0.21774411796749132	40	12	53	8	0.9690958164642373	0.17958788308659177	37	11	38	5
X18Q23.DEL	1.0	0.21774411796749132	40	12	53	8	1.0	0.2969021124170462	37	11	37	6
HVCN1	1.0	0.2194146592852226	44	8	57	4	1.0	0.3633472503039703	40	8	39	4
CARD11	1.0	0.23124624701052618	45	7	47	14	0.9690958164642373	0.201842274800435	41	7	32	11
X3Q28.AMP	1.0	0.24482827946963454	47	5	59	2	0.9690958164642373	0.20733457424662394	43	5	42	1
NFKBIE	1.0	0.24810366624525915	52	0	58	3	0.9424789525913112	0.10158455776433295	48	0	40	3
IRF4	1.0	0.24810366624525915	52	0	58	3	0.9690958164642373	0.22051282051282045	48	0	41	2
X4Q21.22.DEL	1.0	0.2535479707539114	44	8	56	5	1.0	0.3633472503039703	40	8	39	4
CREBBP	1.0	0.2598041917932602	23	29	34	27	1.0	0.531484349833058	22	26	23	20
TP53	1.0	0.2804349723166351	47	5	50	11	0.9971407160865077	0.24480700215297493	43	5	34	9
GNAI2	1.0	0.2804349723166351	47	5	50	11	0.9690958164642373	0.15605299040945775	43	5	33	10
X3Q.AMP	1.0	0.297498231619351	46	6	58	3	0.9690958164642373	0.20733457424662394	43	5	42	1
PTEN	1.0	0.297498231619351	46	6	58	3	0.9690958164642373	0.11442539121733228	42	6	42	1
SV.MYC	1.0	0.31598293864542254	41	11	53	8	1.0	0.7899170384302638	39	9	36	7
