	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
DUSP2	0.0071402089683206505	0.00019833913800890694	34	5	30	30	0.046992297770678974	0.0013053416047410825	29	4	17	17	1.0	0.20992058150491325	7	2	7	8	1.0	0.38018575851393177	7	2	7	6	1.0	0.9999999999999999	44	4	20	2
IPI_IntermediateHigh_3	0.22835145187825742	0.0126861917710143	31	8	58	2	0.23704345734511648	0.013169080963617581	25	8	33	1	1.0	0.13043478260869568	6	3	14	1	1.0	0.26425153793574835	6	3	12	1	1.0	0.4476639369941309	67	6	22	4
HIST1H1D	0.41951686016487194	0.042828136329758903	27	12	52	8	0.3524895627307447	0.04331845813297423	22	11	30	4	1.0	0.6349074266694404	6	3	12	3	1.0	0.6550199026979212	6	3	10	3	1.0	0.47191358024691366	58	1	21	1
CRIP1	0.41951686016487194	0.05442638181257322	33	6	58	2	0.5857306872232249	0.10543436662839654	28	5	33	1	1.0	0.37499999999999994	8	1	15	0	1.0	0.4090909090909092	8	1	13	0	1.0	1.0	65	1	26	0
IPI_High_45	0.41951686016487194	0.05826623057845444	36	3	60	0	0.5857306872232249	0.11389207807118261	30	3	34	0	1.0	0.13043478260869565	7	2	15	0	1.0	0.15584415584415592	7	2	13	0	1.0	0.16783658168046964	72	1	24	2
SESN3	0.4705199932771766	0.07841999887952943	39	0	54	6	0.7497113490093673	0.23880597014925375	33	0	31	3	1.0	1.0	9	0	15	0	1.0	1.0	9	0	13	0	1.0	1.0	67	0	26	0
BRAF	0.5212956781575754	0.10136304853063967	29	10	53	7	0.594023018962891	0.13200511532508688	24	9	30	4	1.0	0.6146245059288539	7	2	13	2	1.0	0.9999999999999999	7	2	11	2	1.0	1.0	60	1	22	0
CD274	0.771787601606214	0.18559839644199694	33	6	56	4	0.9491901073858766	0.7337032962020001	28	5	30	4	1.0	0.5108695652173911	9	0	13	2	1.0	0.49350649350649367	9	0	11	2	1.0	1.0	67	0	22	0
STAT3	0.771787601606214	0.22288734414639202	33	6	44	16	0.877353216634858	0.3916698666585159	27	6	24	10	1.0	1.0	8	1	12	3	1.0	0.6161312371838685	8	1	10	3	1.0	1.0	56	0	21	0
PABPC1	0.771787601606214	0.2574888772951296	34	5	57	3	0.7497113490093673	0.19744683177519007	29	4	33	1	1.0	0.9999999999999999	8	1	14	1	1.0	1.0	8	1	12	1	1.0	1.0	66	1	25	0
COO_GCB	0.771787601606214	0.2782792999449628	13	20	32	28	0.7497113490093673	0.2499037830031224	10	17	7	27	1.0	0.6302244582043345	3	4	4	11	1.0	0.6126160990712074	3	4	3	10	0.07203894327588813	0.002001081757663559	40	29	5	19
HIST1H1C	0.771787601606214	0.2849940881484147	23	16	42	18	0.877353216634858	0.4601305469426333	18	15	22	12	1.0	1.0	6	3	10	5	1.0	1.0	6	3	8	5	1.0	0.5325644504748983	51	2	14	1
COO_ABC	0.771787601606214	0.32185638187402116	27	6	42	18	0.7497113490093673	0.22447967750670803	22	5	32	2	1.0	0.2272727272727273	5	2	14	1	1.0	0.27017543859649135	5	2	12	1	0.09964413669030989	0.005535785371683882	46	23	23	1
HIST1H2AM	0.771787601606214	0.32332157984492765	28	11	49	11	0.8843772899462279	0.5762920619063108	24	9	27	7	1.0	0.32559288537549397	6	3	13	2	1.0	0.26425153793574835	6	3	12	1	1.0	0.5680695300948464	56	4	21	0
NFKBIA	0.771787601606214	0.3375433073599677	32	7	43	17	0.3524895627307447	0.034437907308269566	27	6	19	15	1.0	0.6784560506124648	6	3	8	7	1.0	0.6739938080495356	6	3	7	6	1.0	1.0	58	3	17	0
IPI_IntermediateLow_2	0.771787601606214	0.34301671182498394	32	7	44	16	0.877353216634858	0.4101320861832953	26	7	23	11	1.0	0.6570197873199625	7	2	9	6	1.0	0.38018575851393177	7	2	7	6	1.0	0.7874507918966386	55	18	21	5
PLOIDY	1.0	0.5091333924455743	34	5	55	5	0.877353216634858	0.47628314919726716	28	5	31	3	1.0	0.533102766798419	7	2	14	1	1.0	0.15584415584415592	7	2	13	0	1.0	0.7195832295508664	66	7	23	3
TET2	1.0	0.6190891032994446	32	7	46	14	0.8843772899462279	0.5596760643340091	27	6	25	9	1.0	1.0	7	2	12	3	1.0	1.0	7	2	10	3	1.0	1.0	58	0	20	0
HIST1H2BC	1.0	0.6440519211316161	30	9	43	17	1.0	0.9999999999999999	27	6	27	7	1.0	0.533102766798419	7	2	14	1	1.0	0.5441558441558441	7	2	12	1	1.0	0.2736913585838771	52	10	21	1
