	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
IPI_High_45	0.1428294315423101	0.003758669251113423	35	8	93	3	0.035006390540220284	0.0009212208036900075	25	8	41	0	0.7946353163744475	0.03663003663003667	7	3	18	0	0.9529644268774694	0.05217391304347825	7	3	15	0	1.0	0.3909100131139687	108	8	20	3
COO_UNC	0.48977192595667196	0.02577746978719326	30	7	58	38	1.0	0.30663419177175055	22	7	26	15	1.0	0.20111888111888102	8	1	11	7	1.0	0.1907114624505929	8	1	9	6	1.0	1.0	74	38	14	7
COO_ABC	0.6240728362810618	0.051857391196244294	14	23	56	40	1.0	0.15290216164081563	11	18	23	18	1.0	0.23112128146453106	2	7	9	9	1.0	0.3890664961636827	2	7	7	8	1.0	0.8124194170178023	58	54	12	9
IPI_IntermediateHigh_3	0.6240728362810618	0.0657543832754982	33	10	86	10	0.261208745611432	0.013747828716391155	23	10	38	3	0.7946353163744475	0.06273436708219322	5	5	16	2	0.9529644268774694	0.07523403370085284	5	5	13	2	1.0	0.7446714216783479	100	16	19	4
SV.BCL6	0.6240728362810618	0.08211484687908707	10	33	38	58	1.0	0.7996239135331509	9	24	13	28	1.0	0.9999999999999999	3	7	6	12	1.0	0.6913178085879661	3	7	6	9	1.0	1.0	43	0	5	0
TNIP1	0.795647093118823	0.12933701016499294	36	7	89	7	1.0	0.5005828108196162	28	5	37	4	1.0	0.5329670329670332	10	0	15	3	1.0	0.5000000000000001	10	0	13	2	1.0	1.0	106	0	19	0
CCDC27	0.795647093118823	0.17687812792839988	43	0	90	6	1.0	0.2486116253239541	33	0	38	3	1.0	1.0	10	0	17	1	1.0	1.0	10	0	14	1	1.0	1.0	110	1	23	0
B2M	0.795647093118823	0.20714113833733797	29	14	75	21	1.0	0.19323675169775004	22	11	33	8	1.0	0.20745920745920746	6	4	15	3	1.0	0.17529644268774705	6	4	13	2	1.0	1.0	91	0	13	0
PLOIDY	0.795647093118823	0.22609928559849674	41	2	95	1	1.0	0.5825620140688634	31	2	40	1	1.0	1.0	10	0	17	1	1.0	1.0	10	0	14	1	1.0	0.0710497295594181	115	1	21	2
IPI_Low_01	0.795647093118823	0.23533928909520666	33	10	63	33	1.0	0.4721045166863144	23	10	25	16	1.0	0.41696564305259953	8	2	11	7	1.0	0.2289626647413696	8	2	8	7	1.0	1.0	80	36	16	7
