	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
X9P21.3.DEL	0.17532839435670272	0.0028742359730607003	45	34	70	19	0.4126193020578559	0.12489327501446858	40	27	39	14	0.7674852362239231	0.04194463189608541	16	15	17	4	0.5256121458671192	0.06031614788639073	16	15	14	3	1.0	1.0	87	33	28	10
X15Q15.3.DEL	0.5687082594068394	0.020862720319077738	49	30	39	50	0.0028619356372780506	4.691697766029592e-05	43	24	14	39	0.8263157586700869	0.08901154139942587	17	14	6	15	0.8949755260866651	0.13204556942262272	17	14	5	12	1.0	0.8595986427016361	66	61	22	19
X17Q24.3.AMP	0.5687082594068394	0.03221109855388176	53	26	73	16	0.41437433111350586	0.15548132195592046	45	22	42	11	1.0	0.9999999999999999	20	11	14	7	1.0	1.0	20	11	11	6	1.0	1.0	96	29	30	9
IPI_IntermediateHigh_3	0.5687082594068394	0.05411005650642445	62	17	80	9	0.32777959757047126	0.03224061615447258	50	17	48	5	1.0	0.5225000817053419	22	9	17	4	0.9709119437904223	0.7469762438723788	22	9	13	4	0.944523382506845	0.08357656409253036	111	16	31	10
X3P21.31.DEL	0.5687082594068394	0.06850291831180849	49	30	67	22	0.4817838685613565	0.2332518366810695	43	24	40	13	0.8263157586700869	0.1321856538357141	18	13	17	4	0.9709119437904223	0.34414635911681707	18	13	13	4	1.0	0.9999999999999999	88	39	28	13
X1Q23.3.AMP	0.5687082594068394	0.07324884602981677	64	15	81	8	0.6694354645491936	0.41702537135851403	57	10	48	5	1.0	0.6754356407047271	28	3	18	3	1.0	1.0	28	3	15	2	0.944523382506845	0.24704786460436695	106	16	39	2
X18Q21.32.AMP	0.5687082594068394	0.07324884602981677	64	15	81	8	0.32777959757047126	0.03218662110168242	54	13	50	3	0.8263157586700869	0.1224532337662881	24	7	20	1	0.5256121458671192	0.041188608217145546	24	7	17	0	1.0	1.0	109	8	36	2
X3Q28.AMP	0.5687082594068394	0.09906614367432037	66	13	82	7	0.4126193020578559	0.14204926792155695	57	10	50	3	1.0	0.449463585334511	25	6	19	2	0.9709119437904223	0.6938126725203355	25	6	15	2	0.944523382506845	0.11831648947804907	108	14	40	1
X18Q23.DEL	0.5687082594068394	0.11011247941536137	60	19	77	12	0.6074739400938668	0.3574941722238976	52	15	45	8	0.8263157586700869	0.16507400840123362	22	9	19	2	0.9709119437904223	0.28397057496719774	22	9	15	2	1.0	1.0	104	22	33	7
X4Q21.22.DEL	0.5687082594068394	0.11106036158952523	55	24	51	38	0.4126193020578559	0.06037090424453542	46	21	27	26	1.0	0.3842002787103617	21	10	11	10	0.9709119437904223	0.2205378593237477	21	10	8	9	0.944523382506845	0.1924327731819659	84	43	22	19
X3Q28.DEL	0.5687082594068394	0.1115629146327289	65	14	81	8	0.4126193020578559	0.11246615923118534	55	12	49	4	0.8364594375651419	0.21939919673839786	25	6	20	1	0.9709119437904223	0.39556353501236574	25	6	16	1	1.0	0.784318961605495	109	16	37	4
IPI_High_45	0.5687082594068394	0.11187703463741103	68	11	84	5	0.4126193020578559	0.0882206049099541	56	11	50	3	1.0	0.7214516410519125	24	7	18	3	1.0	1.0	24	7	14	3	0.944523382506845	0.5432665859888336	116	11	36	5
X8Q12.1.DEL	0.5692638350385918	0.12131852222133924	62	17	60	29	0.4126193020578559	0.06082996999505086	54	13	34	19	1.0	1.0	25	6	17	4	0.9709119437904223	0.7266184576074425	25	6	13	4	0.944523382506845	0.5314306108628941	95	31	27	12
PLOIDY	0.6398785502961243	0.15692860285896143	53	26	50	39	0.32777959757047126	0.02457469649372729	46	21	25	28	1.0	0.37529529729720407	23	8	13	8	0.9709119437904223	0.20136792471501397	23	8	9	8	1.0	0.9999999999999999	78	49	25	16
