	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
IPI_IntermediateHigh_3	0.24628467545153407	0.02362339338585279	38	17	54	8	0.3014653313573931	0.013776268490766453	31	16	38	5	1.0	0.676030408118349	16	5	12	2	1.0	1.0	16	5	8	2	0.7443748037190874	0.08112241294748469	78	17	14	8
BCL2	0.24628467545153407	0.024520451043460102	16	39	31	31	0.3014653313573931	0.08116374305775968	13	34	20	23	1.0	0.7240557140784446	7	14	6	8	1.0	1.0	7	14	4	6	1.0	0.5914713727627072	43	10	4	2
SOCS1	0.24628467545153407	0.028417462552100085	50	5	46	16	0.3014653313573931	0.03418562235744853	44	3	33	10	1.0	1.0	19	2	12	2	1.0	0.5773081201334817	19	2	8	2	1.0	0.36818851251840934	77	1	19	1
IPI_High_45	0.32661831560564253	0.050248971631637315	49	6	61	1	0.3014653313573931	0.05680497340706564	42	5	43	0	1.0	0.5058823529411766	19	2	14	0	1.0	0.9999999999999999	19	2	10	0	1.0	0.6144676107294356	90	5	20	2
SV.BCL2	0.3771855326523898	0.08319647696250802	15	40	27	35	0.3014653313573931	0.07766850074879235	12	35	19	24	1.0	0.47355647689351804	5	16	5	9	1.0	1.0	5	16	3	7	1.0	1.0	38	0	4	0
EZH2	0.3771855326523898	0.08704281522747458	39	16	34	28	0.3014653313573931	0.05441000266470541	32	15	20	23	1.0	0.48295287839951007	14	7	7	7	1.0	0.44724908017455306	14	7	5	5	1.0	1.0	60	0	13	0
IPI_Low_01	0.5675397235315953	0.1527991563354295	43	12	40	22	0.3014653313573931	0.07363727136681052	36	11	25	18	1.0	0.676030408118349	16	5	12	2	1.0	1.0	16	5	8	2	1.0	0.7966192884265224	68	27	15	7
PTEN	0.6064803728111503	0.18660934548035396	48	7	59	3	0.366858136830161	0.11287942671697263	41	6	42	1	1.0	0.6350267379679144	18	3	13	1	1.0	1.0	18	3	9	1	0.8671634095492897	0.1944444444444444	87	0	20	1
MEF2B	0.6191146032773571	0.26160072314914	46	9	46	16	0.8481195745291146	0.3261998363573518	38	9	30	13	1.0	1.0	17	4	11	3	1.0	0.6517669205099684	17	4	7	3	1.0	0.27705330587966126	79	1	13	1
COO_ABC	0.6191146032773571	0.29771014292584225	43	2	55	7	1.0	0.9999999999999999	36	2	41	2	1.0	0.4962121212121212	17	2	14	0	1.0	0.5320197044334976	17	2	10	0	0.8671634095492897	0.20011463297291301	77	9	21	0
COO_GCB	0.6191146032773571	0.3159737560472591	6	39	14	48	1.0	1.0	5	33	5	38	1.0	0.36620234604105584	4	15	1	13	1.0	0.6328154604016674	4	15	1	9	0.7443748037190874	0.11451920057216729	19	67	1	20
SV.MYC	0.6191146032773571	0.3257515811563063	44	11	54	8	1.0	1.0	39	8	36	7	1.0	0.7210233592880978	15	6	9	5	1.0	1.0	15	6	7	3	1.0	1.0	79	0	19	0
CREBBP	0.6191146032773571	0.3567231642115089	25	30	34	28	1.0	0.6732455229522398	22	25	23	20	1.0	1.0	10	11	6	8	1.0	0.4521062049620352	10	11	3	7	1.0	1.0	49	0	10	0
TNFRSF14	0.6191146032773571	0.3576312096866393	34	21	33	29	0.5885794446707997	0.2037390385398922	29	18	20	23	1.0	0.18709919233931432	14	7	6	8	1.0	0.12060743821637564	14	7	3	7	1.0	1.0	57	0	10	0
SV.MYC_SV.BCL2	0.6191146032773571	0.3781513651913422	47	8	57	5	1.0	0.7418881106698448	41	6	39	4	1.0	0.6852866821721103	17	4	10	4	1.0	1.0	17	4	8	2	1.0	0.9999999999999999	84	11	20	2
IPI_IntermediateLow_2	0.6191146032773571	0.3809936020168352	40	15	50	12	1.0	0.6338636120309828	33	14	33	10	1.0	1.0	12	9	8	6	1.0	0.4577936838032597	12	9	4	6	1.0	0.7793693403470972	72	23	18	4
