	BCL6_ALT	NOTCH2_vec	M88O_vec	C1_vec4	CD70_vec	TP53_biallelic	X21Q_AMP	Sum_C2_ARM	Sum_C2_FOCAL	BCL2_combined	CREBBP_vec	GNA13_vec	PTEN	SV_MYC	Hist_comp	SGK1_vec	DUSP2_vec	CN_2P16_1_AMP	TBL1XR1_vec	MYD88_L265P_CD79B	Sum_C5_CNA
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	0	2	4	0	0	1	7	0	0	0	0	0	0	2	3	0	14	0	3
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	2	0	0	2	0	3	5	0	0	0	0	3	0	4	0	0	4	0	2
ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	4	0	4	5	0	0	0	0	0	0	0	0	0	0	0	1
BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	0	0	7	6	0	2	1	0	0	2	0	0	0	2	0	4
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	1	1	3	2	0	5	23	2	2	3	3	0	0	0	0	0	3	0	6
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	1	4	0	5	7	0	2	2	0	0	2	0	0	0	1	0	3
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	0	2	0	2	4	0	2	2	0	3	2	0	0	0	0	0	1
BLUE1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	3	1	7	10	0	0	4	1	3	0	0	0	0	0	0	4
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	1
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	2	0	2	4	0	0	0	0	3	2	0	0	0	2	0	0
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2	0	0	2	4	2	0	0	1	0	3	2	0	0	4	6	1	0	8	0	0
CROAP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	2	2	2	0	1	8	5	0	0	1	0	0	6	2	4	0	6	0	4
CTB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3	0	2	2	2	0	0	6	3	0	2	3	0	0	2	6	0	0	13	0	2
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2	3	1	12	2	2	0	0	11	1	7	5	1	3	8	13	6	0	20	0	3
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	3	0	3	1	9	6	5	4	8	2	0	0	2	0	0	0	0	4
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	3	0	2	1	8	2	0	2	0	0	0	0	2	0	0	2	0	3
DERL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	2
DG75_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	4	0	2	0	2	0	0	7	0	6	4	0	3	5	0	0	0	2	0	1
DL40_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	2	6	0	4	1	9	11	0	1	0	0	0	0	0	0	2	2	0	0
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	1	2	0	0	0	2	2	5	0	4	0	3	0	0	0	0	2	0	2
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2	0	0	0	3	2	0	1	6	0	1	0	0	3	1	0	2	0	2	0	4
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2	0	0	1	3	2	0	7	6	0	1	0	0	3	3	0	2	0	0	0	2
EB3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	0	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2	0	0	2	0	2	0	0	3	0	4	2	0	0	0	2	0	0	7	0	1
FEPD_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	0	0	0	2	9	0	4	1	0	0	0	3	0	0	0	0	4
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	2	0	1	3	0	0	0	0	3	2	0	0	0	3	0	0
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	2	0	2	9	0	2	0	1	0	1	0	0	0	0	0	3
H9_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	1	2	0	5	16	0	0	0	2	0	0	0	2	0	3	0	10
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	0	3	0	1	0	2	12	0	2	2	0	0	0	2	0	0	1	0	0
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	2	1	7	9	0	6	0	0	0	0	0	0	0	0	0	4
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	0	2	0	2	0	1	8	0	0	2	2	0	0	0	0	0	0	0	5
HS445_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	1
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	0	2	0	2	0	0	7	0	5	1	0	0	0	7	0	0	7	0	0
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	3
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	1	2	0	1	16	0	0	0	2	0	0	0	2	0	2	0	8
IM9_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	4	0	7	10	0	2	0	0	0	2	2	0	0	0	0	1
JIYOYEP2003_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	5	2	2	0	2	3	0	2	2	0	3	2	2	2	0	4	0	2
JSC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	0	0	1	10	7	0	1	1	0	0	0	0	0	0	2	0	4
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1
KARPAS1106P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	4	4	2	0	0	1	10	0	2	2	0	0	4	2	3	0	8	0	2
KARPAS231_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	4	0	6	8	5	4	0	1	0	2	0	0	0	0	0	2
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	4	0	4	3	0	0	0	0	0	0	0	0	0	1	0	2
KARPAS384_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	0	0	6	9	0	2	0	2	0	0	0	0	0	0	0	6
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	1	2	2	2	0	1	11	5	8	5	4	0	2	2	0	1	6	0	3
KHYG_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	2	0	2	6	0	0	0	0	0	0	2	0	0	1	0	3
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	2	0	0	2	0	4	4	0	0	0	0	0	0	0	0	0	0	0	3
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	0	3	2	0	0	4	14	0	0	3	0	0	0	0	0	1	4	0	5
KML1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	1	0	4	0	4	12	0	0	1	3	0	2	0	0	0	3	0	2
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	2	1	2	1	0	9	10	0	2	4	0	0	4	5	0	0	7	0	5
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2	0	5	3	2	0	0	3	10	0	3	4	0	0	2	4	1	1	6	0	1
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	0	5	0	0	0	2	3	0	4	1	0	0	0	4	0	0	5	0	0
L82_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	0	3	1	9	7	0	0	2	0	0	0	0	0	0	1	0	4
MAC2A_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	2	2	0	0	0	0	7	0	2	2	0	0	2	2	0	2	0	0	1
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2	0	0	2	0	2	1	5	3	0	0	2	3	3	0	6	0	0	0	0	2
MCCAR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	2	0	0
MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	1	1	11	10	0	0	1	2	0	0	0	0	0	0	0	7
MHHPREB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	4	0	2	0	2	1	2	3	0	4	2	0	3	2	4	2	0	6	0	0
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	2	1	5	6	0	0	0	0	0	0	0	0	0	0	0	4
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	4	1	3	9	0	0	0	0	0	0	0	0	0	0	0	6
MTA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	4
MYLA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	5
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	0	0	0	4	0	6	3	0	0	0	1	0	4	0	0	0	2	0	1
NKL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	2	3	2	4	1	7	4	0	0	0	0	0	0	4	0	0	1	0	7
NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	0	2	0	4	6	5	4	1	0	0	0	2	2	0	2	0	2
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	3	0	2	0	1	5	3	2	0	0	0	8	2	1	0	2	0	4
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	2	2	0	0	17	1	4	0	4	0	0	2	0	1	2	0	4
OCILY12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	4	2	1	3	9	0	4	0	0	0	0	0	0	1	0	0	6
OCILY132_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	2	0	2	5	0	0	0	2	0	0	0	0	2	0	0	0
OCILY18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	0	0	0	3	7	5	2	2	1	3	0	0	0	0	2	0	7
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	3	0	0	0	3	7	5	4	2	0	0	0	0	0	0	3	0	2
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2	4	2	3	0	1	0	6	8	1	0	0	0	0	2	0	0	0	17	4	8
OCILY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2	0	0	5	2	2	0	1	7	0	1	2	0	3	0	0	0	0	2	0	3
P32ISH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	4	0	3	2	0	1	0	0	0	0	0	0	0	0	0	1
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	5	2	2	0	3	2	0	2	3	3	0	2	4	2	0	6	0	0
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	0	2	0	5	5	4	6	0	0	0	0	2	0	2	2	0	1
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	0	0	2	2	0	3	3	0	0	2	0	3	2	0	2	0	4	0	0
RAMOS2G64C10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2	0	0	0	0	4	0	3	5	0	0	0	0	0	0	0	0	0	1	0	2
RAMOS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	4	0	4	11	0	0	0	0	3	0	0	0	0	0	0	4
RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	2	8	0	0	0	4	14	0	0	0	1	0	4	4	8	1	13	0	5
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	3	0	2	0	4	13	0	0	2	0	0	0	0	0	1	3	0	7
RF48_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	0	0	3	4	0	0	1	0	0	0	0	0	0	0	0	2
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	0	4	0	2	0	9	12	0	2	0	2	0	0	0	0	0	3	0	8
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	2	4	1	7	8	5	4	2	2	0	2	2	0	0	2	0	0
RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SCC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	0	2	0	2	0	4	8	0	0	2	0	0	0	0	0	0	3	0	8
SLVL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	4	0	2	0	3	1	9	10	0	0	3	0	0	0	2	0	0	0	0	7
SMZ1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	2	0	0	4	1	5	7	0	0	0	0	0	0	0	0	0	0	0	2
SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	2	0	10	3	0	2	0	0	0	0	0	0	0	2	0	5
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	0	2	0	3	8	3	0	0	0	3	0	4	0	0	2	0	1
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	0	2	0	2	7	3	5	4	3	3	2	6	0	0	4	0	0
SUDHL16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	4	0	3	0	1	6	3	2	3	3	0	0	2	0	0	4	0	2
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	1	0	3	1	8	3	0	4	0	0	0	0	2	0	0	2	0	4
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	4	0	2	0	7	8	5	2	9	0	0	0	0	2	1	4	0	5
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	4	0	0	0	3	7	0	1	6	2	0	10	6	0	0	2	0	0
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	2	0	0	2	0	3	10	5	8	4	0	0	4	0	2	0	4	0	1
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	2	2	0	5	5	0	6	0	0	3	2	6	4	0	7	0	2
SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	2	6	2	0	0	2	17	0	4	6	2	0	4	6	3	0	18	0	9
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	2	0	0	0	5	3	0	2	0	0	0	0	0	0	0	0	1	2
TK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	2	0	0	0	3	1	6	8	2	2	0	1	0	0	0	0	1	0	0	2
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	1	0	1	2	2	1	9	9	1	6	0	0	0	5	6	0	1	7	0	5
