Epoch	trainingloss	validationloss	stdTrain	stdValidation	num_models
0	0.13449975757317476	0.12197298684724535	0.0038421621872700654	0.006673835500227257	500
1	0.11248498728401733	0.09788616308520011	0.008733192985251733	0.01061008739557621	500
2	0.08742320196967976	0.0757309518067299	0.010694228395566977	0.010406727159563235	500
3	0.06755079503639126	0.06044224057364456	0.009776132165748854	0.009307343690823514	500
4	0.05362302859326503	0.04990638286509052	0.008468394432128445	0.008314916633878497	500
5	0.04365974195670156	0.04263554706963723	0.0072226179840237095	0.007162007906040363	500
6	0.036643327311360455	0.03775410563561174	0.0061727165924929965	0.006343940260385402	500
7	0.03160532218021414	0.034246107036243416	0.005125104735710044	0.005619389389665556	499
8	0.027949456453292505	0.03173783833323338	0.004269518288010551	0.005197323341432144	494
9	0.025346974057458647	0.03023363050451062	0.0035884222374924107	0.00480383088618509	488
10	0.023513960374323257	0.02895366882520895	0.0029233047361274596	0.004743772813386599	466
11	0.022042397515971753	0.028199985781739365	0.0026099452144018433	0.004390992724150207	443
12	0.020928320118259097	0.027694941752953603	0.0023318474868054893	0.004312141795344853	406
13	0.019985678580153782	0.02674807131174191	0.0021103802513074608	0.004433869972594877	379
14	0.0191516786317652	0.026703173761308104	0.0020274636472440905	0.004633121104078671	333
15	0.018522876620467033	0.025979139544081	0.0018581160628541877	0.004298006747562022	301
16	0.018004115979865516	0.025585920140472125	0.0016907088674528595	0.004422075358138396	252
17	0.01749334042408443	0.025426483202902115	0.001614805166993674	0.004547333473046448	216
18	0.01707013415277202	0.025234726322782182	0.0015852826626956077	0.00467553746739833	191
19	0.016509887725409816	0.024446741870302588	0.0016137595500657906	0.004207402238410341	161
20	0.016235807768839206	0.024396788169878992	0.0015329220709805501	0.0045137938602955695	139
21	0.01595295363641227	0.024742150457506957	0.0015812613296773271	0.00416505253753593	113
22	0.01566890538573076	0.023851923181155837	0.0015422690462966015	0.004267171129194999	98
23	0.015525295418716884	0.024031305818982534	0.0015291639414937244	0.004878512624169324	79
24	0.015221408434034436	0.02371518394424596	0.001313869103262468	0.004086313025689143	65
25	0.015005021166613121	0.023549487197456996	0.0013343878903912482	0.00422409341576511	45
26	0.014764833838241558	0.024040375184011385	0.0016118008435871568	0.0042687910682925505	36
27	0.014378840331775552	0.023434515853484505	0.001153616192934488	0.004365076504266393	28
28	0.01429686697824579	0.024084749097243136	0.0011660054921236015	0.0036509796379794227	21
29	0.01403512225504811	0.024135087423130787	0.0012295401536417355	0.004735597783156922	19
30	0.013516808164190946	0.023526420991259067	0.001171548455937426	0.0035751944209865836	18
31	0.013446301837969606	0.023159274554015393	0.0013493201578820711	0.004323877083902706	14
32	0.013167216395662318	0.022906008704481954	0.0011098287871220678	0.0036890662887622593	11
33	0.013257470219753329	0.023417529476291145	0.0013246760458397032	0.00440647275081156	7
34	0.01358925025866705	0.023169940540025746	0.0015203100689298295	0.004761710446627967	6
35	0.013266722467337174	0.028335638463334173	0.0013334057074663704	0.003514161529142668	4
36	0.0129331125026548	0.02452632790227325	0.0010662609748349932	0.0034157505831206134	4
37	0.011710422940624868	0.02606404849339447	0.00029088725241513787	0.0006561530760859637	3
38	0.011361854992107267	0.0275450667143862	0.00021811080835202378	0.0006227742063968154	3
39	0.0109421447173917	0.02746090337915937	0.00024664157047779367	0.003141088377310325	3
40	0.0118984818581253	0.0288813316309252	0.0	0.0	1
41	0.0110075765321751	0.0261572936846537	0.0	0.0	1
42	0.0111699950342931	0.0250503798226548	0.0	0.0	1
