cytoband	2p16.1	11q23.3	7q22.1	18q21.32	8q24.22	19q13.42	13q31.3	9p24.1	3q28	12p12.1	1q23.3	1q32.1	17q24.3	21q22.3	6p21.1	18q22.2	9p13.2	8p23.1	12q12	3p11.1	9q22.33	3q22.1	
q value	2.5088e-46	1.8171e-07	1.0951e-05	1.2323e-07	4.6143e-05	0.00012197	0.00072655	0.0007476	0.0025093	0.0069165	0.00012197	0.0061974	0.020473	0.031167	0.049344	6.135e-06	0.075289	0.16024	0.15551	0.20527	0.22992	0.20997	
residual q value	2.5088e-46	1.8171e-07	1.0951e-05	2.6912e-05	4.6143e-05	0.00012197	0.00072655	0.00097018	0.002834	0.0084758	0.0095358	0.012529	0.020473	0.031167	0.049344	0.08589	0.11728	0.16024	0.18134	0.20527	0.22992	0.23508	
wide peak boundaries	chr2:61021878-61175247	chr11:117403164-117948017	chr7:95864172-105205812	chr18:52604127-59157908	chr8:133879279-134237728	chr19:53770466-58189902	chr13:80122496-115169878	chr9:3932415-5720251	chr3:187003729-189038510	chr12:23999022-25299985	chr1:120510150-174721470	chr1:192545935-215777557	chr17:67040690-67247946	chr21:43231151-43338273	chr6:37446241-43416690	chr18:52604127-78077248	chr9:36607621-37489353	chr8:8860628-9623840	chr12:31552647-43771265	chr3:67704969-93755495	chr9:91090093-106860786	chr3:126451993-132172243	
genes in wide peak	REL	FXYD2	hsa-mir-548o	hsa-mir-122	SLA	hsa-mir-1274b	hsa-mir-1267	hsa-mir-101-2	hsa-mir-28	hsa-mir-920	hsa-mir-199a-2	hsa-mir-3122	ABCA10	C2CD2	BYSL	hsa-mir-122	PAX5	hsa-mir-597	ABCD2	hsa-mir-4273	hsa-mir-1302-8	hsa-mir-1280	
	PAPOLG	IL10RA	hsa-mir-4285	FECH	TG	hsa-mir-935	hsa-mir-4306	INSL4	BCL6	BCAT1	hsa-mir-1295	hsa-mir-4260	ABCA9	PRDM15	CCND3	BCL2	GRHPR	TNKS	BICD1	hsa-mir-1324	hsa-mir-24-1	ACPP	
	PUS10	FXYD6	hsa-mir-106b	GRP	WISP1	hsa-mir-373	hsa-mir-623	JAK2	LPP	LRMP	hsa-mir-3119-2	hsa-mir-205	ABCA6		DNAH8	CDH7	MELK	PPP1R3B	CNTN1	hsa-mir-1284	hsa-mir-2278	GATA2	
	FLJ16341	TMPRSS4	ACHE	LMAN1		hsa-mir-1283-2	hsa-mir-3170	RLN1	MASP1	SOX5	hsa-mir-557	hsa-mir-29b-2	ABCA5		GLO1	CYB5A	ZBTB5	ERI1	PKP2	hsa-mir-3136	hsa-let-7d	GP9	
		DSCAML1	ASNS	MC4R		FCAR	hsa-mir-92a-1	RLN2	SST	CASC1	hsa-mir-1255b-2	hsa-mir-135b	MIR4524A		GLP1R	FECH	POLR1E	LOC157273	DNM1L	EPHA3	hsa-mir-4291	MCM2	
		TMPRSS13	AZGP1	NARS		IL11	hsa-mir-622	SLC1A1	RTP4	LINC00477	hsa-mir-921	hsa-mir-1231			GUCA1A	KDSR	ZCCHC7	MIR597	YAF2	GBE1	hsa-mir-4290	PLXNA1	
		LOC100526771	AP1S1	ATP8B1		KIR2DL1	ATP4B	RCL1	TPRG1	C12orf77	hsa-mir-556	hsa-mir-181a-1			GUCA1B	GALR1	LOC100506710	MIR4660	PDZRN4	GPR27	hsa-mir-3153	RHO	
		FXYD6-FXYD2	CUX1	PMAIP1		KIR2DL3	COL4A1	INSL6	LPP-AS2	MIR920	hsa-mir-4259	hsa-mir-1278			MDFI	GRP	MIR4540		YARS2	HTR1F	hsa-mir-4289	RPN1	
			CYP3A7	TCF4		KIR2DL4	COL4A2	CD274	RTP2		hsa-mir-765	ADORA1			MEA1	LMAN1	MIR4475		PPHLN1	MITF	ALDOB	TRH	
			CYP3A4	TXNL1		KIR2DS4	DCT	AK3	FLJ42393		hsa-mir-9-1	ATF3			MOCS1	MBP	MIR4476		C12orf35	CNTN3	AUH	CNBP	
			CYP3A5	ONECUT2		KIR3DL1	GPR183	C9orf68	LOC100131635		hsa-mir-555	ATP2B4			NFYA	MC4R			KIF21A	POU1F1	BAAT	RAB7A	
			DLX5	MALT1		KIR3DL2	EFNB2	CDC37L1			hsa-mir-92b	AVPR1B			PEX6	NARS			ADAMTS20	PROS1	CKS2	RUVBL1	
			DLX6	NEDD4L		LAIR1	ERCC5	C9orf46			hsa-mir-4258	C4BPA			PGC	NFATC1			ALG10	ROBO1	COL15A1	MBD4	
			EPHB4	WDR7		LAIR2	F7	KIAA1432			hsa-mir-190b	C4BPB			PPP2R5D	SERPINB2			ZCRB1	ROBO2	CTSL2	H1FX	
			EPO	CDH20		NDUFA3	F10	PDCD1LG2			hsa-mir-554	CACNA1S			PTK7	ATP8B1			SLC2A13	TMF1	CYLC2	MRPL3	
			GNB2	RAX		CNOT3	FGF14	GLIS3			hsa-mir-4257	CD34			PRPH2	SERPINB5			LRRK2	CGGBP1	ECM2	MGLL	
			AGFG2	ST8SIA3		PEG3	GPC5	PPAPDC2			hsa-mir-3118-3	CENPF			SRF	SERPINB8			FGD4	SUCLG2	S1PR3	COPG	
			LRCH4	ZNF532		PRKCG	GAS6	MIR101-2			hsa-mir-3118-2	CHI3L1			TBCC	SERPINB10			PRICKLE1	UBA3	FANCC	TMCC1	
			MCM7	CCDC68		PTPRH	GPR18				hsa-mir-3118-1	CHIT1			TFEB	SERPINB13			ALG10B	ARL6IP5	FBP1	PLXND1	
			NPTX2	SEC11C		RPL28	ING1				ADAR	CR1			KCNK5	PMAIP1			CPNE8	PDZRN3	FOXE1	DNAJC13	
			OCM2	ALPK2		RPS9	IPO5				ALDH9A1	CR1L			NCR2	SERPINB3			DENND5B	FRMD4B	HSD17B3	C3orf27	
			ORC5	CCBE1		AURKC	LAMP1				APCS	CR2			MED20	SERPINB4			AMN1	RYBP	IARS	ATP2C1	
			SERPINE1	BOD1P		SYT5	LIG4				APOA2	CSRP1			CUL7	TCF4			METTL20	CHMP2B	NCBP1	ACAD9	
			PCOLCE	CPLX4		TNNI3	PCCA				FASLG	CTSE			C6orf108	ZNF236			C12orf40	FOXP1	NFIL3	ASTE1	
